img_size,conf_thresh,iou_thresh,skip_interval,appearance_weight,MOTA,IDF1,FPS
640,0.2,0.7,5,1.0,1.0,0.81,40.276523961581674
640,0.2,0.3,1,1.0,1.0,0.75,23.56062758731778
320,0.8,0.7,1,0.0,1.0,0.75,29.58228179832307
320,0.8,0.3,1,0.0,1.0,0.75,27.233736662604954
960,0.8,0.7,1,1.0,0.9500000000000001,0.81,25.786651265079982
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,46.01719262819237
640,0.2,0.7,1,0.0,0.9,0.78,23.41748966946467
640,0.2,0.3,1,1.0,1.0,0.75,22.783515017113544
640,0.2,0.3,1,1.0,1.0,0.75,22.187725046850126
320,0.2,0.7,5,1.0,0.8,0.78,40.935227556785726
640,0.8,0.3,5,0.0,0.8500000000000001,0.78,48.33477788449628
640,0.2,0.7,1,0.0,0.9,0.78,23.261424567306562
640,0.2,0.3,5,1.0,1.0,0.81,42.70043164044209
320,0.2,0.3,1,0.0,0.9,0.75,23.04952984817376
960,0.8,0.3,1,1.0,0.9500000000000001,0.81,27.153815387477177
320,0.8,0.7,5,1.0,0.8500000000000001,0.75,49.839944331406066
640,0.2,0.3,1,0.0,0.9,0.78,23.671871376121107
640,0.8,0.7,1,0.0,1.0,0.78,28.514018249835846
640,0.8,0.3,5,0.0,0.8500000000000001,0.78,44.70474215249953
640,0.2,0.3,1,0.0,0.9,0.78,23.198932731955935
640,0.2,0.7,5,1.0,1.0,0.81,40.852219436398805
320,0.2,0.7,5,1.0,0.8,0.78,43.61339417884554
640,0.8,0.3,1,0.0,1.0,0.78,28.099008598005803
640,0.2,0.3,5,1.0,1.0,0.81,41.56198621901867
320,0.8,0.7,5,1.0,0.8500000000000001,0.75,48.596354121170826
640,0.8,0.3,5,0.0,0.8500000000000001,0.78,48.55967446171766
640,0.8,0.7,5,1.0,0.8500000000000001,0.78,48.30246692799007
640,0.2,0.7,1,0.0,0.9,0.78,23.419783042701155
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,46.553993712893856
960,0.2,0.3,1,1.0,0.9500000000000001,0.81,22.112096067343856
320,0.8,0.7,1,0.0,1.0,0.75,27.430595031216512
320,0.8,0.7,1,0.0,1.0,0.75,28.887053645670843
640,0.2,0.3,1,1.0,1.0,0.75,22.307170598973734
960,0.8,0.3,1,1.0,0.9500000000000001,0.81,25.4837858633316
640,0.2,0.3,5,0.0,1.0,0.78,39.594984842580054
640,0.2,0.3,1,0.0,0.9,0.78,22.37848274384057
640,0.2,0.3,1,1.0,1.0,0.75,21.924430355171516
640,0.2,0.3,1,0.0,0.9,0.78,23.089441315124336
320,0.8,0.7,5,1.0,0.8500000000000001,0.75,50.64606833809873
960,0.8,0.7,1,0.0,0.8500000000000001,0.81,25.263090867866026
640,0.2,0.3,5,1.0,1.0,0.81,41.43476773087575
640,0.2,0.3,1,1.0,1.0,0.75,21.90708859887888
640,0.8,0.3,5,0.0,0.8500000000000001,0.78,49.4761000253213
640,0.2,0.7,1,0.0,0.9,0.78,23.29316296792355
320,0.8,0.3,1,0.0,1.0,0.75,27.473907862590963
640,0.2,0.7,5,0.0,1.0,0.78,41.507330381561175
640,0.2,0.3,1,0.0,0.9,0.78,23.569985665510192
640,0.2,0.3,5,1.0,1.0,0.81,40.78132938615784
640,0.2,0.3,1,0.0,0.9,0.78,23.481705737475377
640,0.2,0.3,1,0.0,0.9,0.78,22.67572670632769
320,0.2,0.3,1,0.0,0.9,0.75,23.28041892847695
320,0.2,0.3,1,0.0,0.9,0.75,23.206991807050052
640,0.2,0.3,1,0.0,0.9,0.78,22.91112812570175
640,0.2,0.3,5,0.0,1.0,0.78,39.64847481874743
640,0.2,0.3,1,0.0,0.9,0.78,23.388882206359064
320,0.8,0.7,1,0.0,1.0,0.75,26.79965141909561
640,0.2,0.7,5,1.0,1.0,0.81,41.68129239509191
640,0.2,0.3,1,1.0,1.0,0.75,22.45203542811135
640,0.8,0.3,5,0.0,0.8500000000000001,0.78,48.213425723253685
320,0.8,0.7,1,0.0,1.0,0.75,28.918204838591485
640,0.2,0.7,5,1.0,1.0,0.81,40.16041183478583
640,0.8,0.3,5,0.0,0.8500000000000001,0.78,49.125270250838035
640,0.2,0.7,5,1.0,1.0,0.81,41.61105783055231
640,0.2,0.3,5,1.0,1.0,0.81,40.3235207364773
320,0.8,0.7,5,1.0,0.8500000000000001,0.75,49.835823822098185
640,0.8,0.3,5,0.0,0.8500000000000001,0.78,46.89585898415066
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,46.966222584298144
320,0.8,0.7,5,1.0,0.8500000000000001,0.75,50.084648345543485
960,0.8,0.3,1,1.0,0.9500000000000001,0.81,25.167861674413263
320,0.8,0.7,5,1.0,0.8500000000000001,0.75,50.87790946319946
640,0.2,0.3,5,1.0,1.0,0.81,40.99393594654524
320,0.8,0.7,5,1.0,0.8500000000000001,0.75,51.29855321176231
640,0.2,0.7,5,0.0,1.0,0.78,40.486666765384385
640,0.8,0.3,5,0.0,0.8500000000000001,0.78,47.82527031079271
320,0.8,0.3,5,1.0,0.8500000000000001,0.75,50.07712824277496
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,46.86634459190945
320,0.8,0.7,5,1.0,0.8500000000000001,0.75,49.80171086286956
320,0.8,0.7,5,1.0,0.8500000000000001,0.75,50.37196561578785
640,0.2,0.3,5,1.0,1.0,0.81,40.56602110393819
320,0.8,0.7,5,1.0,0.8500000000000001,0.75,49.41802311267911
640,0.8,0.7,5,1.0,0.8500000000000001,0.78,43.932405109133995
640,0.8,0.3,5,0.0,0.8500000000000001,0.78,44.72721549500267
320,0.8,0.3,5,1.0,0.8500000000000001,0.75,45.49800390523858
