img_size,conf_thresh,iou_thresh,skip_interval,appearance_weight,MOTA,IDF1,FPS
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,44.95932081749642
640,0.2,0.7,5,1.0,1.0,0.81,40.1958384411535
320,0.8,0.7,5,0.0,0.8500000000000001,0.75,47.96673526167762
320,0.2,0.7,1,1.0,1.0,0.75,22.903459156465523
960,0.2,0.7,5,0.0,0.9500000000000001,0.75,36.575557750593696
320,0.2,0.3,1,0.0,0.9,0.75,22.836643038370884
960,0.2,0.3,5,1.0,0.9,0.81,38.518625309187726
640,0.8,0.3,1,0.0,1.0,0.78,27.74069753558554
320,0.2,0.7,1,0.0,0.9,0.75,23.525525574380815
640,0.2,0.7,1,1.0,1.0,0.75,22.936154763317536
960,0.2,0.3,5,1.0,0.9,0.81,38.144233789063804
320,0.8,0.7,5,1.0,0.8500000000000001,0.75,50.10755129003892
320,0.2,0.3,5,0.0,0.9,0.81,43.538448311112994
640,0.2,0.3,1,1.0,1.0,0.75,22.238934332755406
960,0.8,0.7,5,0.0,0.8500000000000001,0.75,42.19074828913062
640,0.2,0.3,1,1.0,1.0,0.75,22.55978242458054
640,0.2,0.7,1,1.0,1.0,0.75,22.24366303937433
640,0.8,0.3,5,0.0,0.8500000000000001,0.78,46.00792707345117
960,0.8,0.7,5,1.0,0.8500000000000001,0.75,43.363747619319554
960,0.2,0.3,5,0.0,0.9500000000000001,0.75,37.86493496082827
640,0.2,0.3,1,1.0,1.0,0.75,22.485619819224627
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,46.15397127020488
320,0.8,0.7,1,1.0,1.0,0.75,28.990932571891616
320,0.2,0.3,5,1.0,0.8,0.78,40.72923418651939
640,0.2,0.7,1,1.0,1.0,0.75,22.8504301141486
960,0.2,0.3,5,1.0,0.9,0.81,38.367858649783976
320,0.8,0.7,5,0.0,0.8500000000000001,0.75,51.5288426922286
960,0.8,0.7,5,0.0,0.8500000000000001,0.75,42.86190269847221
320,0.8,0.3,5,0.0,0.8500000000000001,0.75,50.94935153600982
320,0.2,0.3,1,0.0,0.9,0.75,23.45623532360392
640,0.8,0.3,1,0.0,1.0,0.78,28.201514121455272
640,0.2,0.7,1,1.0,1.0,0.75,23.69087455508566
640,0.2,0.7,1,1.0,1.0,0.75,22.446430275589595
640,0.2,0.7,5,1.0,1.0,0.81,39.48445853309584
960,0.2,0.3,5,1.0,0.9,0.81,37.11030488683612
640,0.8,0.3,5,0.0,0.8500000000000001,0.78,49.93750357258779
960,0.8,0.7,5,1.0,0.8500000000000001,0.75,42.34252509765035
640,0.2,0.7,1,1.0,1.0,0.75,22.80590977029349
640,0.8,0.3,1,1.0,0.9,0.81,27.81763614350656
640,0.2,0.3,1,1.0,1.0,0.75,22.608467123011604
960,0.8,0.7,5,1.0,0.8500000000000001,0.75,44.2790814696852
960,0.2,0.7,5,0.0,0.9500000000000001,0.75,37.65647880984192
640,0.2,0.3,1,0.0,0.9,0.78,23.385239766032026
320,0.8,0.7,5,1.0,0.8500000000000001,0.75,48.97370510485265
960,0.8,0.7,5,0.0,0.8500000000000001,0.75,44.355942914744524
640,0.8,0.3,1,0.0,1.0,0.78,27.09627926436959
640,0.2,0.7,1,1.0,1.0,0.75,22.9971664048007
320,0.2,0.7,1,1.0,1.0,0.75,22.54368216560169
960,0.8,0.3,5,0.0,0.8500000000000001,0.75,43.00372807881604
960,0.2,0.3,5,0.0,0.9500000000000001,0.75,40.33326952740753
640,0.2,0.7,5,1.0,1.0,0.81,41.071947011167495
640,0.2,0.3,1,1.0,1.0,0.75,22.442955983305335
320,0.2,0.7,5,0.0,0.9,0.81,43.61578766470891
640,0.8,0.3,1,0.0,1.0,0.78,28.276901063503967
320,0.2,0.3,5,0.0,0.9,0.81,43.632708646825805
960,0.2,0.7,5,0.0,0.9500000000000001,0.75,37.724301713018214
320,0.8,0.7,5,1.0,0.8500000000000001,0.75,47.78989323704152
640,0.8,0.3,5,0.0,0.8500000000000001,0.78,47.824056923321955
640,0.8,0.3,1,0.0,1.0,0.78,27.559101066002725
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,48.746653867338566
320,0.2,0.3,5,0.0,0.9,0.81,43.483291019497656
320,0.8,0.7,5,1.0,0.8500000000000001,0.75,49.87279013047848
320,0.2,0.3,5,0.0,0.9,0.81,42.851271579363576
320,0.2,0.7,5,0.0,0.9,0.81,41.98806835623774
320,0.8,0.3,5,0.0,0.8500000000000001,0.75,50.38911903270451
320,0.2,0.3,5,0.0,0.9,0.81,42.93482317588033
320,0.2,0.3,5,0.0,0.9,0.81,42.962580268722576
320,0.8,0.7,5,0.0,0.8500000000000001,0.75,50.615224698897336
640,0.8,0.7,5,1.0,0.8500000000000001,0.78,45.454139019030364
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,48.13643213282884
320,0.8,0.3,5,0.0,0.8500000000000001,0.75,51.28643165572912
640,0.2,0.7,5,1.0,1.0,0.81,40.25912313221413
640,0.8,0.3,1,0.0,1.0,0.78,28.826489313201513
640,0.2,0.3,5,0.0,1.0,0.78,41.01160839873966
640,0.8,0.3,5,0.0,0.8500000000000001,0.78,48.70530197653243
640,0.8,0.7,5,1.0,0.8500000000000001,0.78,47.40519010076662
320,0.8,0.7,5,1.0,0.8500000000000001,0.75,47.715154762497534
320,0.2,0.7,1,0.0,0.9,0.75,23.376574842066056
320,0.8,0.3,5,0.0,0.8500000000000001,0.75,50.31548698169972
960,0.2,0.3,5,0.0,0.9500000000000001,0.75,37.612814513116234
320,0.8,0.7,1,1.0,1.0,0.75,29.013425614749593
320,0.2,0.7,5,1.0,0.8,0.78,40.80512187997179
640,0.8,0.3,5,0.0,0.8500000000000001,0.78,48.23019139228972
640,0.2,0.7,5,1.0,1.0,0.81,40.742872304321835
